Year,Date,Easter Sunday
2425,2425-04-06,"April 06, 2425"
2426,2426-03-29,"March 29, 2426"
2427,2427-04-18,"April 18, 2427"
2428,2428-04-02,"April 02, 2428"
2429,2429-04-22,"April 22, 2429"
2430,2430-04-14,"April 14, 2430"
2431,2431-03-30,"March 30, 2431"
2432,2432-04-18,"April 18, 2432"
2433,2433-04-10,"April 10, 2433"
2434,2434-03-26,"March 26, 2434"
2435,2435-04-15,"April 15, 2435"
2436,2436-04-06,"April 06, 2436"
2437,2437-03-22,"March 22, 2437"
2438,2438-04-11,"April 11, 2438"
2439,2439-04-03,"April 03, 2439"
2440,2440-04-22,"April 22, 2440"
2441,2441-04-07,"April 07, 2441"
2442,2442-03-30,"March 30, 2442"
2443,2443-04-19,"April 19, 2443"
2444,2444-04-10,"April 10, 2444"
2445,2445-03-26,"March 26, 2445"
2446,2446-04-15,"April 15, 2446"
2447,2447-04-07,"April 07, 2447"
2448,2448-04-19,"April 19, 2448"
2449,2449-04-11,"April 11, 2449"
2450,2450-04-03,"April 03, 2450"
2451,2451-04-16,"April 16, 2451"
2452,2452-04-07,"April 07, 2452"
2453,2453-03-30,"March 30, 2453"
2454,2454-04-19,"April 19, 2454"
2455,2455-04-04,"April 04, 2455"
2456,2456-03-26,"March 26, 2456"
2457,2457-04-15,"April 15, 2457"
2458,2458-03-31,"March 31, 2458"
2459,2459-04-20,"April 20, 2459"
2460,2460-04-11,"April 11, 2460"
2461,2461-03-27,"March 27, 2461"
2462,2462-04-16,"April 16, 2462"
2463,2463-04-08,"April 08, 2463"
2464,2464-03-30,"March 30, 2464"
2465,2465-04-12,"April 12, 2465"
2466,2466-04-04,"April 04, 2466"
2467,2467-04-24,"April 24, 2467"
2468,2468-04-15,"April 15, 2468"
2469,2469-03-31,"March 31, 2469"
2470,2470-04-20,"April 20, 2470"
2471,2471-04-05,"April 05, 2471"
2472,2472-03-27,"March 27, 2472"
2473,2473-04-16,"April 16, 2473"
2474,2474-04-08,"April 08, 2474"
2475,2475-03-24,"March 24, 2475"
2476,2476-04-12,"April 12, 2476"
2477,2477-04-04,"April 04, 2477"
2478,2478-04-24,"April 24, 2478"
2479,2479-04-09,"April 09, 2479"
2480,2480-03-31,"March 31, 2480"
2481,2481-04-20,"April 20, 2481"
2482,2482-04-05,"April 05, 2482"
2483,2483-03-28,"March 28, 2483"
2484,2484-04-16,"April 16, 2484"
2485,2485-04-01,"April 01, 2485"
2486,2486-04-21,"April 21, 2486"
2487,2487-04-13,"April 13, 2487"
2488,2488-04-04,"April 04, 2488"
2489,2489-04-17,"April 17, 2489"
2490,2490-04-09,"April 09, 2490"
2491,2491-03-25,"March 25, 2491"
2492,2492-04-13,"April 13, 2492"
2493,2493-04-05,"April 05, 2493"
2494,2494-03-28,"March 28, 2494"
2495,2495-04-10,"April 10, 2495"
2496,2496-04-01,"April 01, 2496"
2497,2497-04-21,"April 21, 2497"
2498,2498-04-13,"April 13, 2498"
2499,2499-03-29,"March 29, 2499"
2500,2500-04-18,"April 18, 2500"
